TIMESTMAP,Values1
2020-12-07 15:07:58,171
2020-12-27 08:45:06,104
2020-07-12 19:00:13,16
2020-10-30 09:56:40,29
2020-01-30 14:43:48,20
2020-12-31 12:53:28,19
2020-04-10 12:37:13,220
2020-03-15 18:33:57,205
2020-10-30 10:50:34,202
2020-05-02 06:47:32,260
2020-03-22 12:56:50,261
2020-11-29 22:43:38,152
2020-06-04 08:45:23,209
2020-04-27 08:08:20,120
2020-08-11 05:49:16,281
2020-08-10 02:25:30,12
2020-04-25 04:43:30,200
2020-08-29 01:35:51,21
2020-07-07 06:19:02,168
2020-05-27 07:53:22,21
2020-10-05 04:45:39,23
2020-11-28 14:22:08,13
2020-11-03 10:29:45,122
2020-07-11 02:34:32,21
2020-11-09 21:28:13,115
2020-05-22 01:21:31,277
2020-08-25 17:23:59,185
2020-10-14 17:34:17,294
2020-12-18 01:36:53,12
2020-08-19 17:09:08,12
2020-12-05 06:18:53,15
2020-11-23 01:38:53,103
2020-12-12 09:59:28,19
2020-09-02 05:20:58,12
2020-01-10 00:35:57,221
2020-01-29 11:41:58,249
2020-04-29 09:23:05,232
2020-12-24 09:02:17,15
2020-10-15 11:44:54,21
2020-03-10 23:02:57,155
2020-07-20 02:59:57,13
2020-08-24 16:50:47,172
2020-03-28 21:18:21,269
2020-08-25 16:21:50,151
2020-01-19 20:41:28,255
2020-12-14 00:58:05,19
2020-10-29 06:51:53,147
2020-07-29 01:48:38,27
2020-03-17 04:04:34,24
2020-05-24 19:15:33,20
2020-06-13 19:02:21,197
2020-01-31 06:13:27,250
2020-01-14 09:04:45,17
2020-09-30 18:13:02,163
2020-12-18 11:46:26,105
2020-01-27 11:51:46,175
2020-10-08 11:22:28,23
2020-12-29 23:09:12,134
2020-08-07 02:13:37,283
2020-07-22 20:33:35,299
2020-05-25 18:00:19,15
2020-01-12 16:17:10,29
2020-11-09 09:45:55,226
2020-06-07 11:42:33,166
2020-05-31 00:55:11,26
2020-09-21 20:11:46,13
2020-04-01 12:00:16,290
2020-09-18 10:18:07,254
2020-09-01 09:45:29,16
2020-01-31 11:58:13,115
2020-05-23 06:41:30,11
2020-08-05 08:48:10,121
2020-03-22 04:31:48,13
2020-03-01 10:12:23,266
2020-10-30 05:52:27,12
2020-08-19 21:57:20,225
2020-09-19 13:03:10,25
2020-05-04 19:32:22,23
2020-01-13 02:50:34,20
2020-08-23 21:43:18,14
2020-05-06 05:07:40,157
2020-12-29 03:29:26,120
2020-12-21 06:27:08,126
2020-04-05 06:50:28,220
2020-04-21 22:33:48,22
2020-12-17 02:26:51,106
2020-12-26 13:24:16,212
2020-01-19 19:53:09,260
